V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,ranking
winter,small_,medium,8,9.8,60.8,6.238,578,105,170,50,e>f>abcdg
spring,small_,medium,8.35,8,57.75,1.288,370,428.75,558.75,1.3,b>e>c>g>d>a>f
autumn,small_,medium,8.1,11.4,40.02,5.33,346.66699,125.667,187.05701,15.6,b>g>a>c>def
spring,small_,medium,8.07,4.8,77.364,2.302,98.182,61.182,138.7,1.4,b>c>a>eg>df
autumn,small_,medium,8.06,9,55.35,10.416,233.7,58.222,97.58,10.5,a>ce>f>b>g>d
winter,small_,high__,8.25,13.1,65.75,9.248,430,18.25,56.667,28.4,e>a>b>f>g>c>d
summer,small_,high__,8.15,10.3,73.25,1.535,110,61.25,111.75,3.2,f>e>d>c>a>b>g
autumn,small_,high__,8.05,10.6,59.067,4.99,205.66701,44.667,77.434,6.9,a>f>e>b>cdg
winter,small_,medium,8.7,3.4,21.95,0.886,102.75,36.3,71,5.544,a>b>c>defg
winter,small_,high__,7.93,9.9,8,1.39,5.8,27.25,46.6,0.8,a>d>g>bcef
spring,small_,high__,7.7,10.2,8,1.527,21.571,12.75,20.75,0.8,a>g>e>bcdf
summer,small_,high__,7.45,11.7,8.69,1.588,18.429,10.667,19,0.6,a>g>bcdef
winter,small_,high__,7.74,9.6,5,1.223,27.286,12,17,41,a>cg>e>bdf
summer,small_,high__,7.72,11.8,6.3,1.47,8,16,15,0.5,a>g>c>e>b>df
winter,small_,high__,7.9,9.6,3,1.448,46.2,13,61.6,0.3,a>c>b>e>dfg
autumn,small_,high__,7.55,11.5,4.7,1.32,14.75,4.25,98.25,1.1,a>c>bdefg
winter,small_,high__,7.78,12,7,1.42,34.333,18.667,50,1.1,a>d>bcefg
spring,small_,high__,7.61,9.8,7,1.443,31.333,20,57.833,0.4,a>e>g>d>c>f>b
summer,small_,high__,7.35,10.4,7,1.718,49,41.5,61.5,0.8,a>c>f>d>e>g>b
spring,small_,high__,7.2,9.2,0.8,0.642,81,15.6,18,0.5,a>d>bcefg
autumn,small_,high__,7.75,10.3,32.92,2.942,42,16,40,7.6,e>a>f>bcdg
winter,small_,high__,7.62,8.5,11.867,1.715,208.33299,3,27.5,1.7,a>d>bcefg
spring,small_,high__,7.84,9.4,10.975,1.51,12.5,3,11.5,1.5,a>b>d>g>f>ce
summer,small_,high__,7.77,10.7,12.536,3.976,58.5,9,44.136,3,f>e>a>bcdg
winter,small_,high__,7.09,8.4,10.5,1.572,28,4,13.6,0.5,a>d>bcefg
autumn,small_,high__,6.8,11.1,9,0.63,20,4,0,2.7,a>eg>b>f>cd
winter,small_,high__,8,9.8,16,0.73,20,26,45,0.8,c>a>g>bdef
spring,small_,high__,7.2,11.3,9,0.23,120,12,19,0.5,a>c>b>defg
autumn,small_,high__,7.4,12.5,13,3.33,60,72,142,4.9,b>f>e>a>c>dg
winter,small_,high__,8.1,10.3,26,3.78,60,246,304,2.8,c>b>a>e>g>df
summer,small_,high__,7.8,11.3,20.083,3.02,49.5,53,130.75,5.8,f>e>b>c>g>ad
winter,small_,high__,8.3,10.9,1.17,0.735,13.5,1.625,3,0.2,a>bcdefg
spring,small_,high__,8,0,1.45,0.81,10,2.5,3,0.3,a>bcdefg
winter,small_,medium,8.3,8.9,20.625,3.414,228.75,196.62,253.25,12.32,b>g>c>d>a>ef
spring,small_,medium,8.1,10.5,22.286,4.071,178.57001,182.42,255.28,8.957,d>be>a>c>fg
winter,small_,medium,8,5.5,77,6.096,122.85,143.71001,296,3.7,c>g>b>d>aef
summer,small_,medium,8.15,7.1,54.19,3.829,647.57001,59.429,175.04601,13.2,f>e>d>g>abc
winter,small_,high__,8.3,7.7,50,8.543,76,264.89999,344.60001,22.5,b>c>e>f>adg
spring,small_,high__,8.3,8.8,54.143,7.83,51.429,276.85001,326.85699,11.84,e>f>a>b>cdg
winter,small_,high__,8.4,13.4,69.75,4.555,37.5,10,40.667,3.9,a>f>b>e>cdg
spring,small_,high__,8.3,12.5,87,4.87,22.5,27,43.5,3.3,a>f>d>e>c>b>g
autumn,small_,high__,8,12.1,66.3,4.535,39,16,39,0.8,a>e>b>f>c>dg
winter,small_,low___,0,12.6,9,0.23,10,5,6,1.1,a>bcdefg
spring,small_,medium,7.6,9.6,15,3.02,40,27,121,2.8,a>bcdefg
autumn,small_,medium,7.29,11.21,17.75,3.07,35,13,20.812,12.1,a>f>e>b>g>d>c
winter,small_,medium,7.6,10.2,32.3,4.508,192.5,12.75,49.333,7.9,d>g>e>abcf
summer,small_,medium,8,7.9,27.233,1.651,28.333,7.3,22.9,4.5,a>e>g>d>f>c>b
winter,small_,high__,7.9,11,6.167,1.172,18.333,7.75,11.8,0.5,a>bcdefg
spring,small_,high__,7.9,9,5.273,0.91,33.636,9,11.818,0.8,a>d>bcefg
winter,small_,high__,6.6,10.8,0,3.245,10,1,6.5,0,a>bcdefg
spring,small_,medium,5.6,11.8,0,2.22,5,1,1,0,a>bcdefg
autumn,small_,medium,5.7,10.8,0,2.55,10,1,4,0,a>d>b>c>efg
spring,small_,high__,6.6,9.5,0,1.32,20,1,6,0,a>d>bcefg
summer,small_,high__,6.6,10.8,0,2.64,10,2,11,0,a>d>bcefg
autumn,small_,medium,6.6,11.3,0,4.17,10,1,6,0,a>f>bcdeg
spring,small_,medium,6.5,10.4,0,5.97,10,2,14,0,a>bcdefg
summer,small_,medium,6.4,0,0,0,0,0,14,0,a>f>d>g>bce
autumn,small_,high__,7.83,11.7,4.083,1.328,18,3.333,6.667,0,a>bcdefg
spring,small_,high__,7.57,10.8,4.575,1.203,27.5,2,6.75,1,a>c>b>g>def
summer,small_,high__,7.19,11.7,4.326,1.474,160,2.5,7.2,0.3,a>c>f>b>g>de
winter,small_,high__,7.44,10.1,2.933,0.77,15,1.333,6,0.6,a>c>d>befg
spring,small_,high__,7.14,9.8,3.275,0.923,15,1.25,10.75,2.5,c>a>d>befg
summer,small_,high__,7,12.1,3.136,1.208,16.2,1.8,2.5,0.5,a>c>bdefg
autumn,medium,medium,8.5,8.1,38.125,3.85,225,45,152.33299,5.2,e>a>f>d>c>b>g
summer,medium,medium,7.925,10.2,34.037,9.08,109,55,58.623,11.6,f>e>a>b>c>g>d
winter,medium,medium,8.1,8.1,136,3.773,245,136.75,249.25,20.87,c>e>b>f>d>a>g
spring,medium,medium,8.2,6.8,129.375,3.316,271.25,100,233.5,13,c>e>b>f>d>a>g
spring,medium,high__,9.1,9.4,35.75,5.164,32.5,85.5,215.5,18.37,b>e>f>c>ag>d
autumn,medium,medium,8.1,9.8,29.5,1.287,224.286,25.167,102.333,3.6,a>e>f>bdg>c
winter,medium,medium,8,5.9,27.4,0.735,133.636,36,105.727,3,c>a>b>e>d>fg
spring,medium,medium,8,3.3,26.76,0.658,165,37.375,111.375,3,a>c>d>e>bfg
winter,medium,high__,7.5,9.2,11,3.31,101,26.6,108,1.3,g>f>a>c>e>d>b
spring,medium,high__,7.4,9.8,11,3.235,255,38.75,56.667,2,a>e>d>f>g>bc
autumn,medium,high__,7.3,11.7,10.4,4.93,130,10.8,60,4.3,f>g>e>c>a>bd
winter,medium,high__,7.4,8.9,13.5,5.442,123.333,27.667,104,21,g>c>a>b>f>e>d
summer,medium,high__,7.4,11.17,12.146,6.188,89.6,32,69.93,3.1,g>a>f>e>b>c>d
autumn,medium,medium,7.5,10.8,31,4.408,737.5,111.25,214,2.9,g>f>d>a>e>bc
winter,medium,medium,7.6,6,53,3.734,914,137.60001,254.60001,4.3,g>f>e>d>abc
summer,medium,medium,7.4,10.77,36.248,3.73,429.20001,57.6,169.00101,3.2,g>f>e>a>d>bc
winter,medium,medium,8.5,8.6,125.6,3.778,124.167,197.83299,303.33301,40,b>c>e>f>g>ad
spring,medium,medium,8.7,9.4,173.75,3.318,101.25,267.75,391.75,3.5,e>f>b>c>adg
summer,medium,medium,8.1,10.7,94.405,4.698,153,191.75,265.25,7.3,f>e>b>c>adg
winter,medium,high__,8.8,8.5,53.333,5.132,96.667,120.5,232.83299,31,c>b>d>ae>g>f
spring,medium,high__,7.8,10.5,70,2.443,98.333,144.66701,244,9,f>e>c>b>d>ag
summer,medium,high__,7.9,11.8,63.51,4.94,137,159.5,218,6.5,e>f>b>g>acd
autumn,medium,low___,8.5,10.5,56.717,0.33,215.714,23,138.5,20.829,e>f>g>a>d>bc
winter,medium,low___,9.1,5.4,61.05,0.308,105.556,104.222,239,72.478,b>a>c>g>def
spring,medium,low___,8.9,4.5,57.75,0.267,155,97.333,235.66701,98.817,b>a>g>cdef
winter,medium,high__,7.9,6.3,101.875,3.978,153.75,51.75,205.875,2,c>e>d>a>b>fg
summer,medium,high__,7.8,8.2,85.982,6.2,421.66699,31.333,211.66701,21.9,f>e>a>b>d>cg
winter,medium,medium,7.7,7.1,63.625,3.14,122.5,28.625,186.5,30,c>a>e>d>g>b>f
spring,medium,medium,7.8,6.5,82.111,2.603,215.556,12.889,154.125,5.2,c>e>a>dg>bf
winter,medium,low___,7.7,5.3,65.333,2.899,371.11099,51.111,183.66701,17.2,a>c>d>befg
summer,medium,low___,7.5,8.8,58.331,8.688,758.75,104.5,292.625,3,f>e>a>d>c>bg
autumn,medium,low___,7.6,10,49.625,5.456,308.75,38.625,285.71399,75,b>a>e>f>c>d>g
winter,medium,low___,8.7,7.4,47.778,2.316,38.111,24.667,201.778,3,a>b>cg>e>df
summer,medium,low___,7.7,11.1,47.229,8.759,239,54,275.14301,65.7,b>a>c>g>def
autumn,medium,high__,8.3,11.1,41.5,4.665,931.83301,39,124.2,13.1,a>b>e>f>d>cg
winter,medium,high__,8.43,6,40.167,2.67,723.66699,60.833,141.83299,25,d>c>b>g>aef
summer,medium,high__,8.16,11.1,32.056,5.694,461.875,71,132.54601,15,b>a>g>e>cdf
winter,medium,high__,8.7,9.8,5.889,1.534,51.111,9.667,17.333,1,a>c>b>defg
spring,medium,high__,8.2,11.3,7.25,1.875,25,6.5,26,0.3,a>c>bdefg
summer,medium,high__,8.5,11.8,7.838,1.732,206.53799,8.692,16.662,2.1,a>c>bdefg
spring,medium,medium,7.8,6,53.425,0.381,118.571,37.857,102.571,1.2,f>a>e>d>b>c>g
summer,medium,medium,8,9.7,57.848,0.461,217.75,37,86.997,3,f>a>b>e>cdg
winter,medium,high__,9.7,10.8,0.222,0.406,10,22.444,10.111,0,a>b>cdefg
summer,medium,high__,8.6,11.62,1.549,0.445,25.833,16.833,18.293,1.4,a>f>c>bdeg
autumn,medium,medium,8.3,11.6,5.83,0.701,12.727,3.545,13.2,3.2,a>bcdefg
spring,medium,low___,8.4,5.3,74.667,3.9,131.66701,261.60001,432.909,24.917,c>b>g>a>def
summer,medium,low___,8.2,6.6,131.39999,4.188,92,238.2,320.39999,6.8,c>e>b>a>dfg
winter,medium,medium,8.2,9.4,45.273,7.195,345.45499,144,287,9.882,f>e>b>a>cdg
