A1,A2,A3,A4,A5,A6,A7,ranking
0.800055,-1.736617,-0.839575,-0.654901,-0.737198,-0.916224,-0.682176,b>e>c>f>d>a>g
1.561952,-1.81597,-0.193078,0.573648,0.208949,-0.856916,-0.886199,d>f>g>b>a>c>e
-0.744758,-1.81597,-0.848082,-1.064418,-1.642207,-0.595958,-0.431783,d>c>b>a>e>f>g
1.025997,-1.498561,0.198223,0.573648,-0.243556,0.115746,-0.57089,f>a>b>e>g>d>c
-1.133588,-1.657265,0.18121,0.300637,-1.47766,-0.418032,0.690345,c>b>d>a>e>f>g
-0.282365,-1.657265,1.065889,1.256176,0.414633,0.436013,0.171013,d>c>b>e>a>f>g
-0.035405,-1.498561,0.070625,-0.108879,-0.654924,0.507183,-0.172117,a>d>c>e>b>f>g
0.779037,-1.577913,-0.099506,0.641901,-0.079009,-0.145212,-0.376141,g>c>f>b>d>a>e
1.808912,-1.577913,0.410886,1.051417,0.044402,0.00899,-0.932568,f>e>b>d>a>g>c
0.873617,-1.736617,0.657576,0.914912,1.689874,-0.145212,-0.366867,c>d>e>g>b>f>a
1.4411,-1.498561,0.249262,1.187923,0.208949,0.080161,-0.830556,d>c>f>g>e>b>a
1.346519,-1.419208,1.26154,1.597439,0.57918,0.329257,-0.15357,d>e>b>a>g>f>c
-0.224566,-1.022447,0.053611,-0.177132,0.167812,0.139469,-0.088653,b>a>e>f>c>g>d
-0.266602,-1.181152,0.895759,0.300637,0.57918,0.388566,0.857274,e>f>b>a>c>g>d
-0.376945,-0.784391,0.300301,-0.177132,1.031685,0.056437,0.356489,b>e>f>c>a>d>g
-0.22982,-0.784391,-0.550353,-1.132671,-0.654924,-0.204521,0.022632,b>c>a>e>d>f>g
-1.170369,-0.863743,0.57251,0.232384,0.373496,0.127608,0.356489,e>f>b>c>a>d>g
-0.461017,-1.022447,1.031863,0.232384,1.689874,0.803726,0.458501,e>f>b>g>a>d>c
0.348171,-1.339856,0.164196,-0.654901,0.003265,0.708832,-0.274129,e>b>f>a>g>c>d
0.285117,-0.943095,1.116929,0.914912,0.826001,0.637662,0.736714,e>a>b>c>f>d>g
-0.024896,-1.339856,0.002572,-0.586649,0.45577,0.293672,0.31012,f>b>a>g>e>c>d
0.442751,-1.339856,0.734134,-0.108879,1.360779,1.254472,0.57906,f>g>d>c>b>a>e
0.395461,-1.101799,-1.315941,-0.518396,-1.683344,-1.758407,-1.498269,b>d>a>c>f>e>g
0.148501,-1.022447,-1.026719,-0.040627,-1.025155,-1.675375,-1.164413,d>e>b>a>f>c>g
0.589876,-1.339856,-0.941653,-0.654901,-1.436523,-1.260214,-1.507543,d>b>f>e>a>g>c
1.866711,-1.419208,-0.669444,0.36889,-0.942882,-1.331385,-1.192234,f>d>a>g>c>e>b
1.341265,-0.863743,-1.61367,-0.723154,-0.737198,-1.450002,-1.665197,f>d>e>b>c>g>a
-0.461017,-1.101799,-1.052238,-0.723154,0.332359,-0.40617,-0.357593,b>a>e>f>c>d>g
1.861457,-1.419208,-1.554124,-1.473935,-0.654924,-0.868777,-1.730114,f>e>d>g>a>c>b
1.230921,-1.260504,-0.618405,-0.313638,-0.531514,-0.40617,-0.83983,b>a>d>g>e>f>c
