A1,A2,A3,A4,ranking
-1.327803,1.052523,0.982119,-0.8048,d>a>b>c
-1.322812,1.043159,-0.607004,2.045841,d>c>a>b
-1.332794,1.038478,1.856137,-0.535733,d>b>a>c
-1.337785,1.038478,1.856137,-0.624199,d>a>c>b
-1.337785,1.038478,1.856137,-0.462393,d>a>c>b
-1.337785,1.038478,1.856137,-0.786923,d>a>c>b
-1.337785,1.033796,1.856137,-0.046187,c>d>a>b
-1.337785,1.033796,1.856137,0.214629,c>a>b>d
-1.342777,1.033796,1.061575,-0.03702,a>c>b>d
-1.337785,1.033796,1.856137,0.418606,c>a>b>d
-1.342777,1.038478,1.856137,-0.198827,a>c>d>b
-1.342777,1.038478,1.856137,0.397521,c>a>b>d
-1.342777,1.038478,1.856137,-0.066356,c>a>b>d
-1.342777,1.033796,1.856137,-0.889141,d>a>c>b
-1.342777,1.038478,1.856137,0.003317,c>a>b>d
-1.342777,1.038478,1.697224,-0.694789,a>c>b>d
-1.347768,1.038478,1.856137,-0.307003,c>a>b>d
-1.347768,1.038478,1.856137,-0.645285,c>a>b>d
-1.342777,1.033796,1.697224,-0.181867,a>c>b>d
-1.347768,1.033796,1.856137,-0.519231,a>c>b>d
-1.347768,1.038478,0.902663,-0.86393,a>c>b>d
-1.347768,1.038478,1.061575,-0.456892,c>a>b>d
-1.347768,1.033796,1.856137,-0.091567,a>c>b>d
-1.347768,1.033796,1.856137,-0.434432,c>a>b>d
-1.347768,1.033796,1.856137,-0.188742,c>a>b>d
-1.352759,1.038478,0.982119,-0.962939,d>b>a>c
-1.352759,1.038478,1.617768,-0.690206,c>a>b>d
-1.352759,1.038478,1.856137,-0.338173,c>a>b>d
-1.352759,1.033796,1.697224,-0.253832,c>a>b>d
-1.352759,1.033796,1.856137,-0.874014,a>c>b>d
-1.352759,1.033796,1.617768,-0.329922,a>c>b>d
-1.352759,1.033796,1.856137,-0.221287,a>c>b>d
-1.347768,1.033796,1.538312,-0.327172,a>b>c>d
-1.347768,1.029114,1.617768,-0.449558,a>c>b>d
-1.347768,1.029114,1.77668,0.013402,c>a>b>d
-1.347768,1.029114,1.617768,-0.651244,a>c>b>d
-1.347768,1.029114,1.538312,-0.38401,a>c>b>d
-1.352759,1.029114,1.856137,-0.515564,c>a>b>d
-1.342777,1.029114,1.856137,-0.534358,d>a>c>b
-1.342777,1.029114,1.856137,-0.0934,c>a>b>d
-1.342777,1.029114,1.856137,-0.444974,c>a>b>d
-1.342777,1.029114,1.77668,-0.779131,a>c>b>d
-1.342777,1.033796,1.617768,-0.881348,a>c>b>d
-1.342777,1.033796,1.856137,-0.772713,d>c>a>b
-1.342777,1.029114,1.856137,-0.546734,d>a>c>b
-1.342777,1.029114,1.856137,-0.4491,a>c>b>d
-1.342777,1.029114,1.697224,-0.692497,c>a>b>d
-1.347768,1.024432,1.141031,-0.746586,a>c>b>d
-1.342777,1.024432,0.902663,-0.922144,a>b>c>d
-1.347768,1.024432,0.902663,-0.774547,c>a>b>d
-1.347768,1.024432,-0.607004,-0.797466,c>a>b>d
-1.347768,1.024432,1.141031,-0.351924,a>c>b>d
-1.347768,1.024432,0.982119,0.268259,a>c>b>d
-1.347768,1.024432,1.856137,-0.461018,a>b>c>d
-1.352759,1.024432,1.856137,-0.671871,b>c>a>d
-1.352759,1.024432,1.856137,-0.775005,a>c>b>d
-1.352759,1.024432,1.856137,-0.640701,a>c>b>d
-1.352759,1.024432,1.856137,-0.525649,a>b>c>d
-1.352759,1.024432,1.856137,-0.572403,b>a>c>d
-1.35775,1.024432,-2.116671,-1.135747,d>c>a>b
-1.35775,1.029114,1.856137,-0.694331,d>b>a>c
-1.35775,1.024432,1.617768,-1.14629,d>b>a>c
-1.35775,1.019751,1.697224,-0.859805,a>b>c>d
-1.362741,1.019751,1.856137,-0.647118,a>b>c>d
-1.362741,1.019751,1.538312,-0.828635,d>a>b>c
-1.362741,1.019751,1.856137,-0.745211,b>a>c>d
-1.362741,1.019751,1.538312,-0.541233,a>c>b>d
-1.35775,1.015069,1.856137,-0.737418,d>a>b>c
-1.362741,1.019751,1.856137,-0.945979,b>a>d>c
-1.35775,1.019751,1.3794,0.075741,b>c>a>d
-1.35775,1.019751,-0.209723,-0.856138,b>a>c>d
-1.35775,1.019751,1.3794,-0.779589,a>c>b>d
-1.35775,1.019751,1.617768,-0.821301,b>a>c>d
-1.35775,1.019751,1.3794,-1.20267,b>a>c>d
