A1,A2,A3,A4,ranking
-0.555556,0.25,-0.864407,-0.916667,a>b>c
-0.666667,-0.166667,-0.864407,-0.916667,a>b>c
-0.777778,0,-0.898305,-0.916667,a>b>c
-0.833333,-0.0833334,-0.830508,-0.916667,a>b>c
-0.611111,0.333333,-0.864407,-0.916667,a>b>c
-0.388889,0.583333,-0.762712,-0.75,a>b>c
-0.833333,0.166667,-0.864407,-0.833333,a>b>c
-0.611111,0.166667,-0.830508,-0.916667,a>b>c
-0.944444,-0.25,-0.864407,-0.916667,a>b>c
-0.666667,-0.0833334,-0.830508,-1,a>b>c
-0.388889,0.416667,-0.830508,-0.916667,a>b>c
-0.722222,0.166667,-0.79661,-0.916667,a>b>c
-0.722222,-0.166667,-0.864407,-1,a>b>c
-1,-0.166667,-0.966102,-1,a>b>c
-0.166667,0.666667,-0.932203,-0.916667,a>b>c
-0.222222,1,-0.830508,-0.75,a>b>c
-0.388889,0.583333,-0.898305,-0.75,a>b>c
-0.555556,0.25,-0.864407,-0.833333,a>b>c
-0.222222,0.5,-0.762712,-0.833333,a>b>c
-0.555556,0.5,-0.830508,-0.833333,a>b>c
-0.388889,0.166667,-0.762712,-0.916667,a>b>c
-0.555556,0.416667,-0.830508,-0.75,a>b>c
-0.833333,0.333333,-1,-0.916667,a>b>c
-0.555556,0.0833333,-0.762712,-0.666667,a>b>c
-0.722222,0.166667,-0.694915,-0.916667,a>b>c
-0.611111,-0.166667,-0.79661,-0.916667,a>b>c
-0.611111,0.166667,-0.79661,-0.75,a>b>c
-0.5,0.25,-0.830508,-0.916667,a>b>c
-0.5,0.166667,-0.864407,-0.916667,a>b>c
-0.777778,0,-0.79661,-0.916667,a>b>c
-0.722222,-0.0833334,-0.79661,-0.916667,a>b>c
-0.388889,0.166667,-0.830508,-0.75,a>b>c
-0.5,0.75,-0.830508,-1,a>b>c
-0.333333,0.833333,-0.864407,-0.916667,a>b>c
-0.666667,-0.0833334,-0.830508,-1,a>b>c
-0.611111,0,-0.932203,-0.916667,a>b>c
-0.333333,0.25,-0.898305,-0.916667,a>b>c
-0.666667,-0.0833334,-0.830508,-1,a>b>c
-0.944444,-0.166667,-0.898305,-0.916667,a>b>c
-0.555556,0.166667,-0.830508,-0.916667,a>b>c
-0.611111,0.25,-0.898305,-0.833333,a>b>c
-0.888889,-0.75,-0.898305,-0.833333,a>b>c
-0.944444,0,-0.898305,-0.916667,a>b>c
-0.611111,0.25,-0.79661,-0.583333,a>b>c
-0.555556,0.5,-0.694915,-0.75,a>b>c
-0.722222,-0.166667,-0.864407,-0.833333,a>b>c
-0.555556,0.5,-0.79661,-0.916667,a>b>c
-0.833333,0,-0.864407,-0.916667,a>b>c
-0.444444,0.416667,-0.830508,-0.916667,a>b>c
-0.611111,0.0833333,-0.864407,-0.916667,a>b>c
0.5,0,0.254237,0.0833333,b>c>a
0.166667,0,0.186441,0.166667,b>c>a
0.444444,-0.0833334,0.322034,0.166667,c>b>a
-0.333333,-0.75,0.0169491,-4.03573e-08,b>a>c
0.222222,-0.333333,0.220339,0.166667,b>c>a
-0.222222,-0.333333,0.186441,-4.03573e-08,b>c>a
0.111111,0.0833333,0.254237,0.25,b>c>a
-0.666667,-0.666667,-0.220339,-0.25,b>a>c
0.277778,-0.25,0.220339,-4.03573e-08,b>c>a
-0.5,-0.416667,-0.0169491,0.0833333,b>a>c
-0.611111,-1,-0.152542,-0.25,b>a>c
-0.111111,-0.166667,0.0847457,0.166667,b>c>a
-0.0555556,-0.833333,0.0169491,-0.25,b>a>c
-1.32455e-07,-0.25,0.254237,0.0833333,b>c>a
-0.277778,-0.25,-0.118644,-4.03573e-08,b>a>c
0.333333,-0.0833334,0.152542,0.0833333,b>c>a
-0.277778,-0.166667,0.186441,0.166667,b>c>a
-0.166667,-0.416667,0.0508474,-0.25,b>a>c
0.0555554,-0.833333,0.186441,0.166667,b>c>a
-0.277778,-0.583333,-0.0169491,-0.166667,b>a>c
-0.111111,0,0.288136,0.416667,c>b>a
-1.32455e-07,-0.333333,0.0169491,-4.03573e-08,b>a>c
0.111111,-0.583333,0.322034,0.166667,b>c>a
