A1,A2,A3,A4,A5,ranking
-1.924447,0.575222,0.016674,-0.419643,0.000801,d>a>b>c>e
-1.861992,0.652129,0.337144,-0.241291,0.079475,d>a>b>c>e
-1.811154,0.608182,0.428707,-0.263585,0.070733,d>a>b>e>c
-1.789406,0.663116,0.474489,-0.241291,0.123183,d>a>b>e>c
-1.904093,0.44338,0.474489,-0.709464,-0.077874,d>a>b>e>c
-1.841731,0.44338,0.291363,-0.620289,-0.086616,d>a>b>e>c
-1.799537,0.476341,0.154018,-0.508819,-0.007941,d>a>b>e>c
-1.789406,0.542261,0.1998,-0.419643,0.061992,d>a>b>e>c
-1.799537,0.509301,0.108237,-0.375055,0.061992,a>d>b>e>c
-1.753067,0.575222,0.154018,-0.263585,0.070733,a>d>b>e>c
-1.758923,0.553248,0.337144,-0.241291,0.088217,a>d>b>e>c
-1.753067,0.509301,0.474489,-0.174409,0.027025,a>d>b>e>c
-1.785038,0.465354,0.108237,-0.330467,-0.034166,d>a>b>e>c
-1.811154,0.465354,-0.12067,-0.352761,-0.034166,a>d>b>e>c
-1.753067,0.553248,-0.12067,-0.330467,-0.034166,a>d>b>e>c
-1.665984,0.553248,-0.212233,-0.241291,-0.007941,d>a>b>e>c
-1.676114,0.542261,-0.166452,-0.129821,0.000801,a>d>b>e>c
-1.706598,0.542261,-0.029107,0.115412,0.027025,d>a>b>e>c
-1.676114,0.619169,0.016674,0.204588,0.070733,a>d>b>e>c
-1.6355,0.729037,0.062456,0.293764,0.184375,a>d>b>e>c
-1.613659,0.761997,0.062456,0.204588,0.175633,a>d>b>e>c
-1.625276,0.816931,0.1998,0.137706,0.193116,a>d>b>e>c
-1.619514,0.860878,0.1998,0.115412,0.166891,a>d>b>e>c
-1.613659,0.860878,0.154018,0.070824,0.166891,a>d>b>e>c
-1.6355,0.838904,0.108237,0.026236,0.1057,a>d>b>e>c
-1.676114,0.783971,0.062456,-0.062939,0.035767,a>d>b>e>c
-1.629645,0.75101,0.108237,-0.040645,0.05325,a>d>b>e>c
-1.583175,0.772984,0.1998,-0.018351,0.079475,a>d>b>e>c
-1.583175,0.71805,0.108237,0.115412,0.079475,a>d>b>e>c
-1.56719,0.75101,0.154018,0.338352,0.096958,a>d>b>e>c
-1.546929,0.772984,0.154018,0.27147,0.079475,a>d>b>e>c
-1.552691,0.827918,0.062456,0.137706,0.05325,a>d>b>e>c
-1.583175,0.740023,-0.029107,0.182294,0.035767,a>d>b>e>c
-1.546929,0.772984,0.108237,0.137706,0.096958,a>d>b>e>c
-1.542561,0.794957,0.154018,0.182294,0.149408,d>a>b>e>c
-1.552691,0.805944,0.474489,0.27147,0.166891,d>a>b>e>c
-1.546929,0.761997,0.428707,0.249176,0.184375,d>a>b>e>c
-1.542561,0.729037,0.1998,0.182294,0.166891,d>a>b>e>c
-1.562915,0.729037,0.245581,0.070824,0.175633,d>a>b>e>c
-1.562915,0.75101,0.1998,0.27147,0.184375,d>a>b>e>c
-1.583175,0.772984,0.337144,0.249176,0.166891,d>a>b>e>c
-1.625276,0.783971,0.291363,0.27147,0.140666,a>d>b>e>c
-1.603529,0.827918,0.291363,0.293764,0.149408,a>d>b>e>c
-1.58903,0.871865,0.245581,0.293764,0.166891,a>d>b>e>c
-1.56719,0.926799,0.1998,0.249176,0.166891,a>d>b>e>c
-1.56719,0.882852,0.291363,0.182294,0.201858,d>a>b>e>c
-1.562915,0.805944,0.428707,0.16,0.15815,d>a>b>e>c
-1.557059,0.794957,0.1998,-0.062939,0.114442,d>a>b>e>c
-1.562915,0.794957,0.1998,0.093118,0.079475,d>a>b>e>c
-1.546929,0.860878,0.428707,0.04853,0.088217,d>a>b>e>c
-1.51059,0.882852,0.703396,0.04853,0.1057,d>a>b>e>c
-1.52072,0.970746,0.886522,0.226882,0.131925,d>a>b>e>c
-1.506222,1.036667,1.619025,0.338352,0.193116,d>a>b>e>c
-1.480106,1.157521,2.305746,0.49441,0.201858,d>a>b>e>c
-1.51059,1.245415,2.351528,0.427528,0.15815,d>a>b>e>c
-1.52072,1.278376,1.893713,0.449822,0.193116,d>a>b>c>e
-1.56719,1.212455,1.80215,0.427528,0.193116,d>a>b>e>c
-1.609384,1.069627,1.527462,0.338352,0.201858,d>a>b>e>c
-1.583175,0.959759,1.435899,0.16,0.1057,d>a>b>e>c
-1.593398,0.970746,1.939495,0.003943,0.05325,d>a>b>c>e
-1.578807,0.904825,2.076839,-0.107527,0.070733,d>a>b>e>c
-1.603529,0.827918,1.710588,-0.241291,0.044509,d>a>b>e>c
-1.603529,0.794957,1.664806,-0.152115,0.061992,d>a>b>c>e
-1.671746,0.740023,1.619025,-0.218997,0.070733,d>a>b>e>c
-1.625276,0.75101,1.619025,-0.062939,0.123183,d>a>b>c>e
-1.573045,0.893838,1.939495,0.093118,0.236824,a>d>b>e>c
-1.593398,0.937785,1.847932,0.026236,0.263049,a>d>b>e>c
-1.56719,1.014693,1.80215,0.070824,0.280532,a>d>b>e>c
-1.56719,0.937785,1.893713,0.026236,0.332982,a>d>b>e>c
-1.56719,0.926799,1.893713,-0.018351,0.315499,a>d>b>e>c
-1.56719,0.959759,1.756369,-0.018351,0.341724,a>d>b>e>c
-1.625276,0.893838,1.206992,-0.285879,0.210599,a>d>b>e>c
-1.619514,0.849891,1.206992,-0.441937,0.236824,a>d>b>e>c
-1.649998,0.838904,1.16121,-0.486525,0.236824,a>d>b>e>c
-1.665984,0.838904,1.115429,-0.464231,0.219341,a>d>b>e>c
-1.665984,0.849891,1.023866,-0.486525,0.201858,a>d>b>e>c
-1.649998,0.794957,0.932303,-0.486525,0.210599,a>d>b>e>c
-1.639868,0.904825,1.115429,-0.397349,0.219341,a>d>b>e>c
-1.583175,0.926799,1.069647,-0.330467,0.236824,a>d>b>e>c
-1.58903,0.948772,1.069647,-0.397349,0.263049,a>d>b>e>c
-1.578807,0.948772,1.16121,-0.441937,0.271791,a>d>b>e>c
-1.532338,0.948772,1.023866,-0.486525,0.228083,a>d>b>e>c
-1.542561,0.959759,0.84074,-0.508819,0.210599,a>d>b>e>c
-1.532338,0.992719,0.886522,-0.375055,0.228083,a>d>b>e>c
